"postcode","location"
"CH1 2HT","53.192866,-2.892552"
"CH1 2HU","53.19251,-2.89214"
"CH1 2HX","53.192791,-2.892925"
"CH1 2JA","53.193272,-2.893488"
"CH1 2JB","53.193665,-2.892852"
"CH1 2JD","53.192857,-2.89125"
"CH1 2JF","53.19271,-2.890453"
"CH1 2JG","53.193797,-2.892812"
"CH1 2JH","53.193541,-2.892371"
"CH1 2JT","53.189977,-2.894153"
"CH1 2JW","53.193663,-2.892613"
"CH1 2LA","53.190071,-2.893376"
"CH1 2LB","53.189804,-2.893538"
"CH1 2LD","53.190257,-2.892632"
"CH1 2LE","53.190138,-2.892046"
"CH1 2LF","53.189674,-2.896197"
"CH1 2LH","53.186511,-2.894964"
"CH1 2LJ","53.189202,-2.896861"
"CH1 2LN","53.189694,-2.895869"
"CH1 2LP","53.189876,-2.895618"
"CH1 2LQ","53.189782,-2.896857"
"CH1 2LR","53.189627,-2.896526"
"CH1 2LS","53.19046,-2.896842"
"CH1 2LU","53.190366,-2.89714"
"CH1 2LY","53.189091,-2.897293"
"CH1 2LZ","53.188752,-2.896822"
"CH1 2NA","53.192588,-2.895944"
"CH1 2NE","53.192683,-2.89653"
"CH1 2NF","53.192172,-2.896279"
"CH1 2NH","53.192289,-2.897539"
"CH1 2NN","53.191132,-2.89739"
"CH1 2NP","53.186803,-2.894717"
"CH1 2NR","53.191434,-2.896012"
"CH1 2NS","53.188422,-2.895618"
"CH1 2NU","53.187926,-2.895607"
"CH1 2NW","53.188298,-2.896296"
"CH1 2NX","53.188963,-2.89509"
"CH1 2NY","53.1914,-2.897535"
"CH1 2NZ","53.188833,-2.894414"
"CH1 2PQ","53.188711,-2.894965"
"CH1 2PY","53.18762,-2.895706"
"CH1 2QS","53.188985,-2.895794"
"CH1 2SA","53.190547,-2.891247"
"CH1 2XA","53.187636,-2.893506"
"CH1 3AA","53.197726,-2.88463"
"CH1 3AB","53.193881,-2.881826"
"CH1 3AE","53.194323,-2.881521"
"CH1 3AF","53.19572,-2.88107"
"CH1 3AG","53.192695,-2.882924"
"CH1 3AH","53.195988,-2.880299"
"CH1 3AJ","53.193026,-2.883051"
"CH1 3AL","53.194773,-2.881395"
"CH1 3AN","53.19334,-2.883207"
"CH1 3AP","53.193373,-2.882533"
"CH1 3AQ","53.195161,-2.881284"
"CH1 3AR","53.193219,-2.882501"
"CH1 3AS","53.192826,-2.882179"
"CH1 3AT","53.192714,-2.881338"
"CH1 3AX","53.194649,-2.880945"
"CH1 3BA","53.194408,-2.882361"
"CH1 3BB","53.194734,-2.878161"
"CH1 3BD","53.195341,-2.882425"
"CH1 3BE","53.197786,-2.884632"
"CH1 3BF","53.194866,-2.877416"
"CH1 3BG","53.194413,-2.880265"
"CH1 3BH","53.194429,-2.879308"
"CH1 3BJ","53.192861,-2.882314"
"CH1 3BL","53.193744,-2.883275"
"CH1 3BN","53.194126,-2.882639"
"CH1 3BP","53.19502,-2.882059"
"CH1 3BQ","53.194987,-2.879244"
"CH1 3BR","53.194653,-2.881872"
"CH1 3BT","53.193985,-2.879418"
"CH1 3BU","53.19646,-2.883062"
"CH1 3BW","53.194637,-2.882874"
"CH1 3BX","53.195788,-2.884006"
"CH1 3BY","53.19475,-2.883296"
"CH1 3BZ","53.194362,-2.883139"
"CH1 3DA","53.195833,-2.881671"
"CH1 3DB","53.196429,-2.883615"
"CH1 3DD","53.196585,-2.883184"
"CH1 3DE","53.195857,-2.883139"
"CH1 3DF","53.196005,-2.882633"
"CH1 3DH","53.194226,-2.87884"
"CH1 3DN","53.195553,-2.885348"
"CH1 3DP","53.194481,-2.885896"
"CH1 3DR","53.196484,-2.881251"
"CH1 3DS","53.19678,-2.886107"
"CH1 3DT","53.195822,-2.885399"
"CH1 3DU","53.196781,-2.883576"
"CH1 3DW","53.196879,-2.881214"
"CH1 3DX","53.195668,-2.88568"
"CH1 3DY","53.193814,-2.887108"
"CH1 3DZ","53.194961,-2.886354"
"CH1 3EA","53.193924,-2.889221"
"CH1 3EB","53.193707,-2.887211"
"CH1 3ED","53.195315,-2.885987"
"CH1 3EE","53.19526,-2.88624"
"CH1 3EF","53.194323,-2.888662"
"CH1 3EH","53.195116,-2.890308"
"CH1 3EQ","53.194453,-2.890639"
"CH1 3ER","53.19452,-2.892631"
"CH1 3ET","53.197874,-2.886489"
"CH1 3EU","53.195734,-2.887657"
"CH1 3EW","53.198144,-2.886434"
"CH1 3EX","53.197468,-2.88657"
"CH1 3EY","53.196415,-2.885635"
"CH1 3FS","53.195885,-2.884966"
"CH1 3GW","53.196952,-2.890483"
"CH1 3GY","53.196952,-2.890483"
"CH1 3HB","53.196588,-2.888827"
"CH1 3HD","53.196329,-2.888432"
"CH1 3HE","53.196059,-2.887409"
"CH1 3HF","53.195734,-2.887449"
"CH1 3HG","53.195398,-2.886917"
"CH1 3HH","53.195476,-2.88849"
"CH1 3HJ","53.195015,-2.887597"
"CH1 3HN","53.195435,-2.887965"
"CH1 3HP","53.197132,-2.889547"
"CH1 3HQ","53.195398,-2.886917"
"CH1 3HR","53.197206,-2.889304"
"CH1 3HS","53.195133,-2.891117"
"CH1 3HT","53.195845,-2.888765"
"CH1 3HU","53.196594,-2.886836"
"CH1 3HW","53.195435,-2.887965"
"CH1 3HY","53.195452,-2.889253"
"CH1 3HZ","53.195452,-2.889253"
"CH1 3JA","53.197074,-2.888747"
"CH1 3JD","53.197211,-2.887298"
"CH1 3JE","53.19729,-2.888662"
"CH1 3JF","53.197231,-2.888197"
"CH1 3JG","53.197314,-2.887959"
"CH1 3JH","53.192735,-2.889631"
"CH1 3JJ","53.192572,-2.88874"
"CH1 3JL","53.192099,-2.888184"
"CH1 3JN","53.197524,-2.88741"
"CH1 3JQ","53.197415,-2.887677"
"CH1 3JS","53.192574,-2.88825"
"CH1 3JT","53.193171,-2.889071"
"CH1 3JW","53.197527,-2.887125"
"CH1 3LE","53.192642,-2.888761"
"CH1 3LF","53.192172,-2.887943"
"CH1 3LG","53.192106,-2.885966"
"CH1 3LH","53.193305,-2.886694"
"CH1 3LN","53.193179,-2.886691"
"CH1 3LP","53.193286,-2.885541"
"CH1 3LQ","53.192279,-2.885565"
"CH1 3LR","53.192705,-2.885185"
"CH1 3LW","53.193054,-2.886614"
"CH1 3LY","53.19255,-2.885406"
"CH1 3LZ","53.193328,-2.883716"
"CH1 3NA","53.193273,-2.8837"
"CH1 3NB","53.195757,-2.884679"
"CH1 3ND","53.19454,-2.883813"
"CH1 3NE","53.19531,-2.884146"
"CH1 3NF","53.193862,-2.884295"
"CH1 3NH","53.195533,-2.884599"
"CH1 3NJ","53.195299,-2.88449"
"CH1 3NL","53.19503,-2.884409"
"CH1 3NP","53.194787,-2.884359"
"CH1 3NQ","53.194722,-2.884657"
"CH1 3NR","53.194855,-2.884959"
"CH1 3NS","53.196629,-2.879832"
"CH1 3NT","53.196629,-2.879832"
"CH1 3PA","53.196675,-2.881943"
"CH1 3WN","53.197726,-2.88463"
"CH1 4AA","53.195846,-2.903422"
"CH1 4AD","53.196162,-2.896482"
"CH1 4AE","53.195843,-2.895862"
"CH1 4AF","53.196544,-2.897044"
"CH1 4AG","53.198001,-2.895877"
"CH1 4AH","53.196576,-2.895234"
"CH1 4AJ","53.20371,-2.900413"
"CH1 4AL","53.200698,-2.896936"
"CH1 4AN","53.203112,-2.897436"
"CH1 4AP","53.204753,-2.895584"
"CH1 4AQ","53.201562,-2.89914"
"CH1 4AR","53.20005,-2.89821"
"CH1 4AS","53.201073,-2.897274"
"CH1 4AT","53.203853,-2.899473"
"CH1 4AU","53.202686,-2.895586"
"CH1 4AW","53.202588,-2.897814"
"CH1 4AY","53.206183,-2.903714"
"CH1 4AZ","53.205823,-2.902718"
"CH1 4BA","53.203657,-2.895501"
"CH1 4BB","53.203727,-2.89706"
"CH1 4BD","53.203741,-2.897703"
"CH1 4BE","53.208776,-2.906838"
"CH1 4BF","53.204123,-2.898161"
"CH1 4BG","53.200681,-2.902804"
"CH1 4BH","53.200997,-2.904952"
"CH1 4BJ","53.19864,-2.898061"
"CH1 4BL","53.201611,-2.905968"
"CH1 4BN","53.198801,-2.901762"
"CH1 4BP","53.204325,-2.900006"
"CH1 4BQ","53.200668,-2.902145"
"CH1 4BR","53.198132,-2.899337"
"CH1 4BS","53.1984,-2.902517"
"CH1 4BT","53.19989,-2.902773"
"CH1 4BU","53.199481,-2.902225"
"CH1 4BW","53.19903,-2.902425"
"CH1 4BX","53.203428,-2.894882"
"CH1 4BY","53.19728,-2.90194"
"CH1 4BZ","53.197402,-2.902466"
"CH1 4DA","53.20528,-2.897317"
"CH1 4DB","53.201501,-2.905052"
"CH1 4DD","53.197308,-2.903063"
"CH1 4DE","53.195976,-2.902241"
"CH1 4DF","53.19741,-2.903861"
"CH1 4DG","53.196084,-2.903247"
"CH1 4DH","53.194336,-2.900411"
"CH1 4DJ","53.195797,-2.901998"
"CH1 4DN","53.196505,-2.905785"
"CH1 4DP","53.196781,-2.904908"
"CH1 4DR","53.196183,-2.893684"
"CH1 4DS","53.195093,-2.892972"
"CH1 4DT","53.196426,-2.893689"
"CH1 4DW","53.196727,-2.906149"
"CH1 4DY","53.196936,-2.905884"
"CH1 4DZ","53.196206,-2.903758"
"CH1 4EA","53.205227,-2.898334"
"CH1 4EB","53.194127,-2.895722"
"CH1 4ED","53.206524,-2.900517"
"CH1 4EE","53.194528,-2.893874"
"CH1 4EF","53.196091,-2.894011"
"CH1 4EG","53.202154,-2.898224"
"CH1 4EH","53.193948,-2.894401"
"CH1 4EJ","53.193823,-2.895476"
"CH1 4EL","53.194888,-2.897384"
"CH1 4EN","53.195273,-2.896344"
"CH1 4EQ","53.196532,-2.90417"
"CH1 4EU","53.194621,-2.895911"
"CH1 4EW","53.196155,-2.898578"
"CH1 4EX","53.194129,-2.923727"
"CH1 4EY","53.197173,-2.900635"
"CH1 4EZ","53.193232,-2.898756"
"CH1 4FA","53.204546,-2.896957"
"CH1 4FB","53.194746,-2.90027"
"CH1 4FD","53.195955,-2.901105"
"CH1 4FE","53.195755,-2.901743"
"CH1 4FF","53.194175,-2.89511"
"CH1 4GA","53.203513,-2.899211"
"CH1 4GB","53.192881,-2.902551"
"CH1 4GD","53.193817,-2.90064"
"CH1 4GH","53.195132,-2.897928"
"CH1 4GR","53.195132,-2.899156"
"CH1 4GW","53.194585,-2.898935"
"CH1 4GX","53.193859,-2.89889"
"CH1 4HA","53.193847,-2.894698"
"CH1 4HB","53.194693,-2.894581"
"CH1 4HD","53.194333,-2.894663"
"CH1 4HE","53.197066,-2.898178"
"CH1 4HF","53.197,-2.898611"
"CH1 4HG","53.19687,-2.896827"
"CH1 4HH","53.195485,-2.89801"
"CH1 4HL","53.197455,-2.900282"
"CH1 4HN","53.196527,-2.900517"
"CH1 4HP","53.195775,-2.899094"
"CH1 4HQ","53.196976,-2.899388"
"CH1 4HR","53.195399,-2.899924"
"CH1 4HT","53.19628,-2.900141"
"CH1 4HU","53.195934,-2.899352"
"CH1 4HW","53.196661,-2.900699"
"CH1 4HX","53.196674,-2.898873"
"CH1 4HZ","53.191958,-2.902037"
"CH1 4JA","53.192273,-2.900877"
"CH1 4JB","53.19169,-2.90061"
"CH1 4JD","53.191845,-2.901541"
"CH1 4JE","53.191474,-2.901922"
"CH1 4JF","53.191059,-2.902019"
"CH1 4JG","53.193482,-2.901366"
"CH1 4JH","53.190271,-2.90064"
"CH1 4JJ","53.193121,-2.901787"
"CH1 4JL","53.191244,-2.901334"
"CH1 4JN","53.193761,-2.901013"
"CH1 4JP","53.192868,-2.901623"
"CH1 4JQ","53.19324,-2.900434"
"CH1 4JR","53.192395,-2.901224"
"CH1 4JS","53.194181,-2.90171"
"CH1 4JT","53.194348,-2.902147"
"CH1 4JU","53.194481,-2.902465"
"CH1 4JW","53.19133,-2.901875"
"CH1 4JX","53.194702,-2.902903"
"CH1 4JY","53.193775,-2.902016"
"CH1 4JZ","53.194302,-2.901023"
"CH1 4LA","53.190808,-2.900831"
"CH1 4LB","53.193738,-2.903182"
"CH1 4LD","53.195002,-2.908553"
"CH1 4LE","53.190667,-2.900349"
"CH1 4LF","53.193966,-2.912348"
"CH1 4LG","53.1958,-2.919272"
"CH1 4LH","53.195802,-2.923583"
"CH1 4LJ","53.192929,-2.907865"
"CH1 4LL","53.191984,-2.90105"
"CH1 4LN","53.191097,-2.900597"
"CH1 4LP","53.194753,-2.905748"
"CH1 4LQ","53.195804,-2.926861"
"CH1 4LS","53.195075,-2.91541"
"CH1 4LT","53.192534,-2.916326"
"CH1 4LU","53.197477,-2.912782"
"CH1 4LW","53.189467,-2.902299"
"CH1 4LX","53.190542,-2.920492"
"CH1 4LY","53.191967,-2.915194"
"CH1 4LZ","53.189254,-2.901771"
"CH1 4NE","53.191263,-2.920208"
"CH1 4NL","53.192879,-2.916979"
"CH1 4NN","53.192612,-2.915253"
"CH1 4NP","53.190596,-2.917725"
"CH1 4NS","53.193327,-2.918307"
"CH1 4NT","53.193482,-2.91331"
"CH1 4NW","53.192045,-2.915405"
"CH1 4NX","53.193465,-2.917845"
"CH1 4NZ","53.193518,-2.918026"
"CH1 4PA","53.192479,-2.922165"
"CH1 4PG","53.195591,-2.906739"
"CH1 4PH","53.195187,-2.926429"
"CH1 4PL","53.195906,-2.904231"
"CH1 4PR","53.19456,-2.905011"
"CH1 4PS","53.195487,-2.904926"
"CH1 4PT","53.195883,-2.904844"
"CH1 4PU","53.195515,-2.903654"
"CH1 4PX","53.195783,-2.903869"
"CH1 4PY","53.194322,-2.904377"
"CH1 4PZ","53.196173,-2.907051"
"CH1 4QB","53.195347,-2.903186"
"CH1 4QD","53.194853,-2.903236"
"CH1 4QG","53.197436,-2.913857"
"CH1 4QJ","53.192118,-2.924746"
"CH1 4QL","53.19366,-2.929794"
"CH1 4QN","53.193634,-2.927279"
"CH1 4QP","53.194399,-2.92716"
"CH1 4QR","53.195207,-2.927372"
"CH1 4QS","53.193949,-2.921538"
"CH1 4QT","53.193779,-2.928297"
"CH1 4QX","53.190612,-2.925178"
"CH1 4RJ","53.195067,-2.923328"
"CH1 4RL","53.194784,-2.922753"
"CH1 4RN","53.195011,-2.922279"
"CH1 4RW","53.195287,-2.923902"
"CH1 4RY","53.196401,-2.910109"
"CH1 5AA","53.205655,-2.938468"
"CH1 5AD","53.207638,-2.935457"
"CH1 5AE","53.20612,-2.936502"
"CH1 5AF","53.206472,-2.937483"
"CH1 5AG","53.205743,-2.935251"
"CH1 5AH","53.204395,-2.940911"
"CH1 5AJ","53.204868,-2.939529"
"CH1 5AL","53.205435,-2.939017"
"CH1 5AN","53.205212,-2.940105"
"CH1 5AP","53.203804,-2.940688"
"CH1 5AQ","53.204459,-2.938353"
"CH1 5AR","53.203525,-2.940637"
"CH1 5AS","53.206668,-2.929761"
"CH1 5AT","53.206687,-2.937517"
"CH1 5AU","53.20592,-2.93217"
"CH1 5AW","53.204515,-2.939326"
"CH1 5AX","53.206584,-2.933428"
"CH1 5AY","53.206189,-2.928763"
"CH1 5AZ","53.207028,-2.934156"
"CH1 5BA","53.20356,-2.909587"
"CH1 5BB","53.206334,-2.911158"
"CH1 5BD","53.206953,-2.912579"
"CH1 5BE","53.205244,-2.915028"
"CH1 5BF","53.211143,-2.925276"
"CH1 5BG","53.205774,-2.913946"
"CH1 5BH","53.205077,-2.913887"
"CH1 5BJ","53.205422,-2.91292"
"CH1 5BL","53.203313,-2.910121"
"CH1 5BN","53.205313,-2.917709"
"CH1 5BP","53.205998,-2.917499"
"CH1 5BQ","53.206083,-2.914596"
"CH1 5BR","53.206395,-2.918451"
"CH1 5BS","53.201053,-2.935014"
"CH1 5BT","53.205991,-2.921946"
"CH1 5BU","53.207896,-2.921942"
"CH1 5BW","53.206247,-2.916711"
"CH1 5BX","53.207377,-2.920568"
"CH1 5BY","53.206826,-2.921979"
"CH1 5BZ","53.20685,-2.920093"
"CH1 5DA","53.202843,-2.906847"
"CH1 5DB","53.207195,-2.923497"
"CH1 5DD","53.201049,-2.935493"
"CH1 5DE","53.210757,-2.926488"
"CH1 5DF","53.210569,-2.928573"
"CH1 5DG","53.20836,-2.92005"
"CH1 5DH","53.209803,-2.929934"
"CH1 5DJ","53.211776,-2.924676"
