"postcode","location"
"CH45 5AD","53.432006,-3.041421"
"CH45 5AE","53.432938,-3.040886"
"CH45 5AF","53.434117,-3.041758"
"CH45 5AG","53.433275,-3.040442"
"CH45 5AH","53.431626,-3.041952"
"CH45 5AJ","53.432456,-3.041566"
"CH45 5AL","53.431979,-3.040652"
"CH45 5AN","53.433982,-3.041914"
"CH45 5AP","53.432623,-3.041282"
"CH45 5AQ","53.434705,-3.041471"
"CH45 5AR","53.432972,-3.043175"
"CH45 5AS","53.434749,-3.043519"
"CH45 5AT","53.433057,-3.04274"
"CH45 5AU","53.433244,-3.042067"
"CH45 5AW","53.434333,-3.042816"
"CH45 5AX","53.433615,-3.042678"
"CH45 5AY","53.433038,-3.041867"
"CH45 5AZ","53.432445,-3.043854"
"CH45 5BA","53.432875,-3.04403"
"CH45 5BB","53.432874,-3.045204"
"CH45 5BD","53.432448,-3.044607"
"CH45 5BE","53.433804,-3.04476"
"CH45 5BF","53.433606,-3.043672"
"CH45 5BG","53.43328,-3.044973"
"CH45 5BH","53.432315,-3.042238"
"CH45 5BN","53.4322,-3.048183"
"CH45 5BP","53.432744,-3.046646"
"CH45 5BQ","53.43363,-3.045087"
"CH45 5BR","53.432509,-3.047874"
"CH45 5BS","53.43281,-3.046002"
"CH45 5BT","53.433671,-3.046503"
"CH45 5BU","53.433032,-3.048715"
"CH45 5BW","53.432025,-3.047608"
"CH45 5BX","53.433427,-3.04871"
"CH45 5BY","53.43336,-3.047128"
"CH45 5BZ","53.433138,-3.047845"
"CH45 5DA","53.432881,-3.048501"
"CH45 5DB","53.432361,-3.04924"
"CH45 5DD","53.423265,-3.044081"
"CH45 5DE","53.425295,-3.043242"
"CH45 5DF","53.423685,-3.043495"
"CH45 5DG","53.428829,-3.042125"
"CH45 5DH","53.427345,-3.042224"
"CH45 5DJ","53.431393,-3.04285"
"CH45 5DL","53.426773,-3.041849"
"CH45 5DN","53.425469,-3.041832"
"CH45 5DP","53.424733,-3.042837"
"CH45 5DQ","53.430258,-3.042382"
"CH45 5DR","53.427131,-3.042986"
"CH45 5DS","53.427423,-3.042512"
"CH45 5DT","53.427988,-3.042706"
"CH45 5DU","53.428305,-3.043075"
"CH45 5DW","53.425106,-3.042244"
"CH45 5DX","53.428612,-3.043309"
"CH45 5DY","53.429038,-3.043936"
"CH45 5DZ","53.429046,-3.046918"
"CH45 5EA","53.429671,-3.045457"
"CH45 5EB","53.428383,-3.043739"
"CH45 5ED","53.429434,-3.044909"
"CH45 5EE","53.42946,-3.043992"
"CH45 5EF","53.429918,-3.043973"
"CH45 5EG","53.429459,-3.043073"
"CH45 5EH","53.429041,-3.042521"
"CH45 5EJ","53.429483,-3.042382"
"CH45 5EL","53.43175,-3.045177"
"CH45 5EN","53.431334,-3.044444"
"CH45 5EP","53.431039,-3.043293"
"CH45 5EQ","53.430709,-3.044007"
"CH45 5ER","53.430596,-3.044561"
"CH45 5ES","53.43025,-3.045125"
"CH45 5ET","53.431797,-3.046036"
"CH45 5EU","53.431528,-3.046992"
"CH45 5EW","53.431123,-3.045959"
"CH45 5EX","53.431525,-3.047323"
"CH45 5EY","53.430023,-3.046414"
"CH45 5EZ","53.429919,-3.047088"
"CH45 5HA","53.42694,-3.050416"
"CH45 5HB","53.428033,-3.051888"
"CH45 5HD","53.42725,-3.048889"
"CH45 5HE","53.427479,-3.049436"
"CH45 5HF","53.427393,-3.049013"
"CH45 5HG","53.427644,-3.050072"
"CH45 5HH","53.428166,-3.047993"
"CH45 5HJ","53.428277,-3.048673"
"CH45 5HL","53.428324,-3.049487"
"CH45 5HN","53.427741,-3.050346"
"CH45 5HP","53.428183,-3.0512"
"CH45 5HQ","53.427531,-3.049724"
"CH45 5HR","53.429613,-3.048979"
"CH45 5HS","53.428643,-3.050985"
"CH45 5HT","53.430373,-3.048499"
"CH45 5HU","53.429192,-3.050923"
"CH45 5HW","53.428271,-3.050389"
"CH45 5HY","53.428798,-3.04971"
"CH45 5HZ","53.42955,-3.048088"
"CH45 5JA","53.428743,-3.047797"
"CH45 5JB","53.431276,-3.04804"
"CH45 5JD","53.432116,-3.049626"
"CH45 5JE","53.431605,-3.049553"
"CH45 5JG","53.431245,-3.050507"
"CH45 5JH","53.430568,-3.048835"
"CH45 5JJ","53.431104,-3.049645"
"CH45 5JL","53.431553,-3.051222"
"CH45 5JN","53.431215,-3.049859"
"CH45 5JQ","53.430324,-3.050018"
"CH45 5JR","53.431273,-3.043178"
"CH45 5JT","53.43017,-3.046056"
"CH45 5JW","53.431963,-3.051729"
"CH45 5LA","53.430986,-3.045218"
"CH45 5LF","53.430009,-3.042861"
"CH45 5LN","53.433588,-3.045733"
"CH45 6TA","53.422294,-3.058458"
"CH45 6TB","53.423502,-3.056005"
"CH45 6TD","53.423147,-3.05568"
"CH45 6TE","53.423968,-3.057205"
"CH45 6TF","53.423608,-3.057272"
"CH45 6TG","53.424564,-3.056934"
"CH45 6TH","53.422881,-3.059195"
"CH45 6TJ","53.422543,-3.060721"
"CH45 6TL","53.423288,-3.06086"
"CH45 6TN","53.425822,-3.061977"
"CH45 6TP","53.425267,-3.061783"
"CH45 6TQ","53.424379,-3.056508"
"CH45 6TR","53.425544,-3.061985"
"CH45 6TS","53.424728,-3.061754"
"CH45 6TT","53.424978,-3.061866"
"CH45 6TU","53.424695,-3.063394"
"CH45 6TW","53.42608,-3.062269"
"CH45 6TX","53.425986,-3.063802"
"CH45 6TY","53.424174,-3.061469"
"CH45 6TZ","53.423139,-3.060465"
"CH45 6UA","53.425683,-3.060423"
"CH45 6UB","53.422948,-3.059738"
"CH45 6UD","53.42506,-3.059746"
"CH45 6UE","53.426577,-3.059964"
"CH45 6UH","53.429028,-3.055254"
"CH45 6UJ","53.429626,-3.054202"
"CH45 6UL","53.428786,-3.053156"
"CH45 6UN","53.42829,-3.053339"
"CH45 6UP","53.429326,-3.056089"
"CH45 6UQ","53.428715,-3.055111"
"CH45 6UR","53.428341,-3.05465"
"CH45 6US","53.42757,-3.055414"
"CH45 6UT","53.428033,-3.055907"
"CH45 6UU","53.425858,-3.058005"
"CH45 6UW","53.428372,-3.054184"
"CH45 6UX","53.426788,-3.059563"
"CH45 6UY","53.426817,-3.057231"
"CH45 6UZ","53.427506,-3.057624"
"CH45 6XA","53.429398,-3.057099"
"CH45 6XB","53.428483,-3.058913"
"CH45 6XD","53.428924,-3.058833"
"CH45 6XE","53.427775,-3.056623"
"CH45 6XF","53.427546,-3.057129"
"CH45 6XG","53.429601,-3.058549"
"CH45 6XH","53.424788,-3.05697"
"CH45 6XJ","53.424954,-3.057561"
"CH45 6XL","53.424787,-3.059167"
"CH45 6XN","53.425239,-3.057779"
"CH45 6XP","53.425604,-3.056223"
"CH45 6XQ","53.429652,-3.057858"
"CH45 6XT","53.424242,-3.05971"
"CH45 6XW","53.425508,-3.057921"
"CH45 7AB","53.426735,-3.030606"
"CH45 7HH","53.423565,-3.037705"
"CH45 7LA","53.421813,-3.042585"
"CH45 7LD","53.422281,-3.042537"
"CH45 7LE","53.422847,-3.042701"
"CH45 7LF","53.423214,-3.040648"
"CH45 7LG","53.422672,-3.042049"
"CH45 7LJ","53.422404,-3.041847"
"CH45 7LL","53.422343,-3.041575"
"CH45 7LN","53.423167,-3.041956"
"CH45 7LP","53.422639,-3.039656"
"CH45 7LQ","53.42296,-3.03995"
"CH45 7LR","53.426701,-3.040748"
"CH45 7LU","53.423236,-3.037112"
"CH45 7LW","53.423535,-3.041032"
"CH45 7LX","53.422955,-3.036533"
"CH45 7LY","53.423041,-3.03473"
"CH45 7LZ","53.423439,-3.03659"
"CH45 7NA","53.425612,-3.038841"
"CH45 7NB","53.42536,-3.03891"
"CH45 7ND","53.427177,-3.038909"
"CH45 7NE","53.423396,-3.039404"
"CH45 7NF","53.424561,-3.040832"
"CH45 7NG","53.426195,-3.041142"
"CH45 7NH","53.426094,-3.03825"
"CH45 7NJ","53.425869,-3.039344"
"CH45 7NL","53.4257,-3.039069"
"CH45 7NN","53.424746,-3.040204"
"CH45 7NP","53.425239,-3.04142"
"CH45 7NQ","53.422859,-3.038156"
"CH45 7NR","53.426226,-3.039563"
"CH45 7NS","53.425938,-3.039601"
"CH45 7NT","53.426351,-3.039641"
"CH45 7NU","53.426718,-3.039846"
"CH45 7NW","53.425678,-3.040558"
"CH45 7NX","53.427048,-3.0402"
"CH45 7NY","53.4276,-3.040831"
"CH45 7NZ","53.427378,-3.040479"
"CH45 7PA","53.424259,-3.033239"
"CH45 7PB","53.42539,-3.034426"
"CH45 7PD","53.426914,-3.035938"
"CH45 7PE","53.425066,-3.03341"
"CH45 7PF","53.425771,-3.033983"
"CH45 7PG","53.427591,-3.035653"
"CH45 7PH","53.426178,-3.031616"
"CH45 7PJ","53.425818,-3.032646"
"CH45 7PL","53.426782,-3.03458"
"CH45 7PN","53.426924,-3.032717"
"CH45 7PP","53.427743,-3.033595"
"CH45 7PQ","53.425133,-3.032945"
"CH45 7PR","53.42756,-3.033138"
"CH45 7PS","53.42819,-3.033937"
"CH45 7PT","53.427969,-3.03345"
"CH45 7PU","53.428608,-3.034368"
"CH45 7PW","53.426557,-3.032528"
"CH45 7PX","53.428361,-3.033926"
"CH45 7PY","53.429452,-3.032402"
"CH45 7PZ","53.427121,-3.030645"
"CH45 7QA","53.428703,-3.04"
"CH45 7QE","53.423846,-3.035171"
"CH45 7QF","53.424881,-3.036099"
"CH45 7QG","53.427289,-3.03831"
"CH45 7QH","53.428622,-3.038056"
"CH45 7QJ","53.428611,-3.039215"
"CH45 7QL","53.428136,-3.037036"
"CH45 7QN","53.425113,-3.035476"
"CH45 7QP","53.428618,-3.036506"
"CH45 7QQ","53.428292,-3.040772"
"CH45 7QR","53.428604,-3.034865"
"CH45 7QS","53.428899,-3.035098"
"CH45 7QT","53.429427,-3.035321"
"CH45 7QU","53.429078,-3.035193"
"CH45 7QW","53.427109,-3.037252"
"CH45 7QX","53.429578,-3.033459"
"CH45 7QY","53.429804,-3.033299"
"CH45 7QZ","53.429687,-3.036276"
"CH45 7RA","53.430305,-3.03444"
"CH45 7RB","53.42956,-3.035505"
"CH45 7RD","53.430168,-3.033895"
"CH45 7RE","53.430024,-3.032868"
"CH45 7RH","53.427535,-3.036931"
"CH45 7RQ","53.427609,-3.037715"
"CH45 7SH","53.424905,-3.038522"
"CH45 7SJ","53.424636,-3.037372"
"CH45 8JA","53.426963,-3.073157"
"CH45 8JB","53.427066,-3.072709"
"CH45 8JD","53.426686,-3.073933"
"CH45 8JE","53.425927,-3.068406"
"CH45 8JF","53.424301,-3.077274"
"CH45 8JG","53.426083,-3.071043"
"CH45 8JH","53.426048,-3.072954"
"CH45 8JJ","53.42655,-3.069114"
"CH45 8JL","53.424293,-3.073135"
"CH45 8JN","53.427193,-3.071583"
"CH45 8JP","53.424976,-3.073168"
"CH45 8JQ","53.425575,-3.073589"
"CH45 8JR","53.423794,-3.070655"
"CH45 8JS","53.42799,-3.070986"
"CH45 8JT","53.42709,-3.070015"
"CH45 8JU","53.427381,-3.070625"
"CH45 8JW","53.427449,-3.071078"
"CH45 8JX","53.427882,-3.068832"
"CH45 8JY","53.428725,-3.071095"
"CH45 8JZ","53.428433,-3.073646"
"CH45 8LA","53.429087,-3.073798"
"CH45 8LB","53.429905,-3.070793"
"CH45 8LD","53.427493,-3.072147"
"CH45 8LE","53.427238,-3.072487"
"CH45 8LF","53.423233,-3.071137"
"CH45 8LG","53.424463,-3.071258"
"CH45 8LH","53.423505,-3.069775"
"CH45 8LJ","53.425189,-3.070464"
"CH45 8LL","53.420682,-3.075843"
"CH45 8LN","53.420741,-3.076341"
"CH45 8LP","53.421805,-3.075736"
"CH45 8LQ","53.425164,-3.072284"
"CH45 8LR","53.423476,-3.076094"
"CH45 8LS","53.42358,-3.075435"
"CH45 8LT","53.423405,-3.074904"
"CH45 8LU","53.423123,-3.07428"
"CH45 8LW","53.420284,-3.081884"
"CH45 8LX","53.424447,-3.074042"
"CH45 8LY","53.424822,-3.074353"
"CH45 8LZ","53.42551,-3.075785"
"CH45 8NA","53.422128,-3.088954"
"CH45 8NB","53.427677,-3.07465"
"CH45 8ND","53.426176,-3.076674"
"CH45 8NE","53.427357,-3.074281"
"CH45 8NF","53.42639,-3.075912"
"CH45 8NG","53.423074,-3.073752"
"CH45 8NH","53.426119,-3.075048"
"CH45 8NJ","53.426521,-3.074305"
"CH45 8NL","53.424128,-3.072544"
"CH45 8NN","53.423242,-3.073079"
"CH45 8NP","53.423374,-3.072345"
"CH45 8NQ","53.423106,-3.073256"
"CH45 8NR","53.422686,-3.071891"
"CH45 8NS","53.42124,-3.074789"
"CH45 8NT","53.423803,-3.065614"
"CH45 8NU","53.423375,-3.06628"
"CH45 8NW","53.423193,-3.072551"
"CH45 8NX","53.423769,-3.066471"
"CH45 8NY","53.422551,-3.067975"
"CH45 8NZ","53.422056,-3.071017"
"CH45 8PA","53.421713,-3.073191"
"CH45 8PB","53.422881,-3.068224"
"CH45 8PD","53.422533,-3.070939"
"CH45 8PE","53.421617,-3.066868"
"CH45 8PF","53.42011,-3.065491"
"CH45 8PG","53.421523,-3.067392"
"CH45 8PH","53.422057,-3.073862"
"CH45 8PJ","53.419062,-3.066142"
"CH45 8PL","53.421935,-3.066553"
"CH45 8PN","53.421283,-3.066155"
"CH45 8PP","53.419463,-3.066513"
"CH45 8PQ","53.419934,-3.067112"
"CH45 8PR","53.420399,-3.067334"
"CH45 8PS","53.420896,-3.068054"
"CH45 8PT","53.421089,-3.06857"
"CH45 8PU","53.41978,-3.068237"
"CH45 8PW","53.420952,-3.065979"
"CH45 8PX","53.4209,-3.067603"
"CH45 8PY","53.423266,-3.067376"
"CH45 8PZ","53.42312,-3.068697"
"CH45 8QA","53.421581,-3.069907"
"CH45 8QB","53.421364,-3.071045"
"CH45 8QD","53.421169,-3.071717"
"CH45 8QE","53.421138,-3.072093"
"CH45 8QF","53.420912,-3.073321"
"CH45 8QG","53.420791,-3.073709"
"CH45 8QH","53.422011,-3.068007"
"CH45 8QJ","53.42904,-3.072021"
"CH45 8QL","53.419363,-3.081558"
"CH45 8QN","53.419282,-3.083572"
"CH45 8QP","53.426379,-3.068056"
"CH45 8QQ","53.42072,-3.074701"
"CH45 8QR","53.422676,-3.069739"
"CH45 8QS","53.425681,-3.068821"
"CH45 8QW","53.419345,-3.082611"
"CH45 8RE","53.420482,-3.079239"
"CH45 8RH","53.418965,-3.074942"
"CH45 8RQ","53.419463,-3.075301"
"CH45 9AA","53.434071,-3.052625"
"CH45 9AB","53.436099,-3.053578"
"CH45 9HZ","53.436954,-3.051476"
"CH45 9JA","53.433832,-3.048705"
"CH45 9JB","53.433042,-3.050597"
"CH45 9JD","53.435147,-3.048361"
"CH45 9JE","53.43501,-3.049412"
"CH45 9JF","53.434135,-3.05198"
"CH45 9JG","53.436164,-3.049062"
"CH45 9JH","53.43637,-3.05187"
"CH45 9JJ","53.435773,-3.049881"
"CH45 9JL","53.434413,-3.050074"
"CH45 9JN","53.435362,-3.051527"
"CH45 9JP","53.435589,-3.051247"
"CH45 9JQ","53.435941,-3.053152"
"CH45 9JR","53.433695,-3.051035"
"CH45 9JS","53.434903,-3.053623"
"CH45 9JT","53.434509,-3.05259"
"CH45 9JU","53.435274,-3.052353"
"CH45 9JW","53.435286,-3.051992"
"CH45 9JX","53.435142,-3.052997"
"CH45 9JY","53.435329,-3.053227"
"CH45 9JZ","53.436936,-3.052454"
"CH45 9LA","53.436402,-3.052938"
"CH45 9LB","53.437372,-3.044758"
"CH45 9LD","53.437751,-3.045806"
"CH45 9LE","53.436618,-3.045733"
"CH45 9LF","53.437237,-3.044754"
"CH45 9LG","53.435684,-3.046553"
"CH45 9LH","53.436291,-3.053191"
"CH45 9LJ","53.436551,-3.045084"
"CH45 9LN","53.434675,-3.045866"
"CH45 9LP","53.436501,-3.044691"
"CH45 9LQ","53.435137,-3.044477"
"CH45 9LR","53.435774,-3.044523"
"CH45 9LS","53.436002,-3.044122"
"CH45 9LT","53.435599,-3.047107"
"CH45 9LU","53.43661,-3.043489"
"CH45 9LW","53.433996,-3.045293"
"CH45 9LZ","53.437233,-3.046275"
"CH45 9NA","53.436952,-3.054668"
"CH45 9NB","53.436593,-3.054704"
"CH45 9NF","53.436878,-3.052904"
"CH45 9NT","53.436895,-3.043813"
"CH45 9NX","53.435603,-3.045542"
"CH45 9NZ","53.435316,-3.045535"
"CH46 0PA","53.40029,-3.111623"
"CH46 0PB","53.39825,-3.110681"
"CH46 0PD","53.400551,-3.110771"
"CH46 0PE","53.398877,-3.109961"
"CH46 0PF","53.400782,-3.113109"
"CH46 0PG","53.398895,-3.110999"
"CH46 0PH","53.398857,-3.111812"
"CH46 0PJ","53.398367,-3.111692"
"CH46 0PL","53.397756,-3.108683"
"CH46 0PN","53.39823,-3.109026"
"CH46 0PP","53.400226,-3.10601"
"CH46 0PQ","53.399458,-3.112232"
"CH46 0PR","53.39859,-3.106975"
"CH46 0PS","53.397905,-3.10622"
"CH46 0PT","53.396508,-3.106605"
"CH46 0PU","53.39635,-3.10624"
"CH46 0PW","53.40022,-3.10962"
"CH46 0PX","53.393661,-3.118516"
"CH46 0PY","53.399031,-3.108897"
"CH46 0PZ","53.39686,-3.106449"
"CH46 0QA","53.397379,-3.105861"
"CH46 0QB","53.398101,-3.106541"
"CH46 0QD","53.397788,-3.104307"
"CH46 0QE","53.399001,-3.108294"
"CH46 0QF","53.396411,-3.10543"
"CH46 0QG","53.400097,-3.107315"
"CH46 0QH","53.399087,-3.106747"
"CH46 0QJ","53.397433,-3.10481"
"CH46 0QL","53.396611,-3.103239"
"CH46 0QN","53.396946,-3.103007"
"CH46 0QP","53.399228,-3.108045"
"CH46 0QQ","53.39881,-3.105627"
"CH46 0QR","53.396572,-3.101704"
"CH46 0QS","53.395232,-3.105595"
"CH46 0QT","53.395584,-3.105453"
"CH46 0QU","53.396661,-3.104835"
"CH46 0QW","53.400081,-3.108082"
"CH46 0QX","53.397354,-3.11902"
"CH46 0QY","53.395093,-3.118605"
"CH46 0QZ","53.397356,-3.117862"
"CH46 0RA","53.395809,-3.118002"
"CH46 0RB","53.393824,-3.118822"
"CH46 0RD","53.394089,-3.118303"
"CH46 0RE","53.397928,-3.11541"
"CH46 0RF","53.397815,-3.115904"
"CH46 0RG","53.395342,-3.11411"
"CH46 0RH","53.394548,-3.119202"
"CH46 0RJ","53.396398,-3.119416"
"CH46 0RL","53.399557,-3.115257"
"CH46 0RN","53.398482,-3.117621"
"CH46 0RP","53.397201,-3.120009"
"CH46 0RQ","53.39521,-3.114798"
"CH46 0RR","53.395151,-3.12006"
"CH46 0RS","53.395784,-3.120633"
"CH46 0RT","53.396535,-3.121104"
"CH46 0RU","53.396796,-3.114463"
"CH46 0RW","53.397681,-3.120593"
"CH46 0RX","53.396341,-3.114084"
"CH46 0RY","53.395873,-3.115913"
"CH46 0RZ","53.39603,-3.116429"
"CH46 0SA","53.395705,-3.113713"
"CH46 0SB","53.394543,-3.115953"
"CH46 0SD","53.394703,-3.117071"
"CH46 0SE","53.397558,-3.116438"
"CH46 0SF","53.395572,-3.109649"
"CH46 0SG","53.39697,-3.109144"
"CH46 0SH","53.396957,-3.1077"
"CH46 0SJ","53.401014,-3.112122"
"CH46 0SL","53.40025,-3.114072"
"CH46 0SN","53.396678,-3.108655"
"CH46 0SP","53.400416,-3.113671"
"CH46 0SQ","53.395288,-3.108318"
"CH46 0SR","53.397157,-3.114142"
"CH46 0SS","53.399993,-3.112727"
"CH46 0ST","53.399582,-3.113408"
"CH46 0SU","53.398818,-3.113463"
"CH46 0SW","53.401053,-3.111882"
"CH46 0SX","53.397083,-3.112501"
"CH46 0SY","53.398543,-3.113998"
"CH46 0SZ","53.396817,-3.113065"
"CH46 0TA","53.396253,-3.112765"
"CH46 0TB","53.396299,-3.110706"
"CH46 0TD","53.395763,-3.111398"
"CH46 0TE","53.394507,-3.111065"
"CH46 0TF","53.393096,-3.112036"
"CH46 0TG","53.392993,-3.115357"
"CH46 0TH","53.394203,-3.114772"
"CH46 0TJ","53.393859,-3.114086"
"CH46 0TL","53.395764,-3.113128"
"CH46 0TN","53.394461,-3.112162"
"CH46 0TP","53.395936,-3.107267"
"CH46 0TQ","53.393293,-3.114988"
"CH46 0TR","53.399001,-3.109257"
"CH46 0TT","53.398903,-3.105254"
"CH46 0TU","53.396282,-3.117383"
"CH46 0TW","53.39459,-3.112767"
"CH46 0TX","53.395235,-3.116919"
"CH46 0TY","53.400947,-3.112556"
"CH46 0TZ","53.397946,-3.117306"
"CH46 0UA","53.393997,-3.109924"
"CH46 0UB","53.39482,-3.110321"
"CH46 0UD","53.394538,-3.11063"
"CH46 0UF","53.397914,-3.114884"
"CH46 0UG","53.398509,-3.114734"
"CH46 0UH","53.394132,-3.117567"
"CH46 1DW","53.409956,-3.097933"
"CH46 1PA","53.413143,-3.097318"
"CH46 1PB","53.412974,-3.098036"
"CH46 1PD","53.413632,-3.097045"
"CH46 1PE","53.41281,-3.096407"
"CH46 1PF","53.414129,-3.095613"
"CH46 1PG","53.414576,-3.093022"
"CH46 1PH","53.414618,-3.089397"
"CH46 1PJ","53.414415,-3.087992"
"CH46 1PL","53.414532,-3.090899"
"CH46 1PN","53.414073,-3.088014"
"CH46 1PP","53.413104,-3.105471"
"CH46 1PQ","53.4154,-3.093432"
"CH46 1PR","53.409899,-3.107976"
"CH46 1PT","53.412207,-3.105208"
"CH46 1PU","53.412765,-3.108096"
"CH46 1PW","53.412982,-3.106913"
"CH46 1PX","53.411734,-3.107723"
"CH46 1PY","53.411417,-3.107007"
"CH46 1PZ","53.411709,-3.106594"
"CH46 1QB","53.414801,-3.085098"
"CH46 1QD","53.405031,-3.100689"
"CH46 1QE","53.415221,-3.084357"
"CH46 1QF","53.414631,-3.084116"
"CH46 1QG","53.415166,-3.083438"
"CH46 1QH","53.405477,-3.101002"
"CH46 1QJ","53.405317,-3.099854"
"CH46 1QL","53.411421,-3.103683"
"CH46 1QN","53.409235,-3.100076"
"CH46 1QP","53.408213,-3.099688"
"CH46 1QQ","53.409562,-3.100701"
"CH46 1QR","53.406758,-3.098568"
"CH46 1QS","53.413244,-3.104858"
"CH46 1QT","53.411919,-3.103365"
"CH46 1QU","53.407202,-3.100174"
"CH46 1QW","53.409179,-3.097364"
"CH46 1QX","53.408397,-3.101348"
"CH46 1QY","53.412149,-3.098812"
"CH46 1QZ","53.4117,-3.100741"
"CH46 1RA","53.411829,-3.09751"
"CH46 1RD","53.412636,-3.099772"
"CH46 1RE","53.41272,-3.103205"
"CH46 1RF","53.412303,-3.102622"
"CH46 1RG","53.413266,-3.099518"
"CH46 1RH","53.412432,-3.101257"
"CH46 1RJ","53.414013,-3.10041"
"CH46 1RL","53.413574,-3.100263"
"CH46 1RN","53.415758,-3.098378"
"CH46 1RP","53.41301,-3.08925"
"CH46 1RQ","53.412895,-3.099869"
"CH46 1RR","53.413442,-3.086207"
"CH46 1RS","53.412548,-3.08966"
"CH46 1RT","53.414706,-3.085577"
"CH46 1RU","53.412635,-3.089963"
"CH46 1RW","53.415848,-3.099314"
"CH46 1RX","53.413788,-3.087751"
"CH46 1RY","53.412332,-3.088722"
"CH46 1RZ","53.413949,-3.086837"
"CH46 1SA","53.413363,-3.089034"
"CH46 1SG","53.412212,-3.104711"
"CH46 1SL","53.406466,-3.099102"
"CH46 1SN","53.406282,-3.097578"
"CH46 1SR","53.407165,-3.094411"
"CH46 1SS","53.406862,-3.097006"
"CH46 1ST","53.406701,-3.097964"
"CH46 1SU","53.407395,-3.096541"
"CH46 1SW","53.40691,-3.094751"
"CH46 1SX","53.407493,-3.094946"
"CH46 2PL","53.414913,-3.087619"
"CH46 2PN","53.415394,-3.089086"
"CH46 2PP","53.415174,-3.088296"
"CH46 2PQ","53.415461,-3.088606"
"CH46 2QA","53.414638,-3.095972"
"CH46 2QB","53.415767,-3.09051"
"CH46 2QD","53.416927,-3.088538"
"CH46 2QE","53.415197,-3.089908"
"CH46 2QF","53.417069,-3.087699"
"CH46 2QG","53.416008,-3.094593"
"CH46 2QH","53.415749,-3.095474"
"CH46 2QJ","53.41571,-3.094826"
"CH46 2QL","53.417234,-3.089343"
"CH46 2QN","53.414871,-3.096114"
"CH46 2QQ","53.416621,-3.094443"
"CH46 2QR","53.416422,-3.092588"
"CH46 2QS","53.416509,-3.090935"
"CH46 2QT","53.416982,-3.090345"
"CH46 2QU","53.417254,-3.090126"
"CH46 2QW","53.41548,-3.09637"
"CH46 2QX","53.416701,-3.09258"
"CH46 2QY","53.416866,-3.094179"
"CH46 2QZ","53.417717,-3.090605"
"CH46 2RA","53.417363,-3.093861"
"CH46 2RB","53.417543,-3.094919"
"CH46 2RD","53.417773,-3.09524"
"CH46 2RE","53.418786,-3.090692"
"CH46 2RF","53.418112,-3.094602"
"CH46 2RG","53.417705,-3.097736"
"CH46 2RH","53.419699,-3.091047"
"CH46 2RL","53.418021,-3.090718"
"CH46 2RN","53.418125,-3.09233"
"CH46 2RP","53.418857,-3.08785"
"CH46 2RQ","53.417133,-3.101333"
"CH46 2RR","53.418633,-3.088747"
"CH46 2RS","53.416793,-3.086383"
"CH46 2RT","53.416716,-3.086953"
"CH46 2RU","53.415687,-3.085437"
"CH46 2RW","53.417652,-3.092815"
"CH46 2RX","53.416104,-3.082137"
"CH46 2RY","53.415415,-3.084783"
"CH46 2RZ","53.415637,-3.082035"
"CH46 2SA","53.416891,-3.082564"
"CH46 2SB","53.4164,-3.08225"
"CH46 3RA","53.416669,-3.104677"
"CH46 3RB","53.416182,-3.108064"
"CH46 3RD","53.417274,-3.103533"
"CH46 3RF","53.418368,-3.107835"
"CH46 3RG","53.415528,-3.10087"
"CH46 3RH","53.415338,-3.105921"
"CH46 3RJ","53.415384,-3.111564"
"CH46 3RL","53.418389,-3.104661"
"CH46 3RN","53.415237,-3.102187"
"CH46 3RP","53.416642,-3.101004"
"CH46 3RQ","53.415413,-3.10168"
"CH46 3RR","53.414708,-3.100172"
"CH46 3RS","53.415633,-3.100196"
"CH46 3RT","53.415572,-3.112097"
"CH46 3RU","53.413319,-3.103641"
"CH46 3RW","53.415527,-3.102916"
"CH46 3RX","53.413302,-3.104378"
"CH46 3RY","53.414296,-3.103742"
"CH46 3RZ","53.413868,-3.104408"
"CH46 3SA","53.413741,-3.107534"
"CH46 3SB","53.413395,-3.107977"
"CH46 3SD","53.41478,-3.106929"
"CH46 3SE","53.414996,-3.10689"
"CH46 3SF","53.415654,-3.107719"
"CH46 3SG","53.414177,-3.107049"
"CH46 3SH","53.414124,-3.11275"
"CH46 3SJ","53.41349,-3.11323"
"CH46 3SL","53.413483,-3.112056"
"CH46 3SN","53.414152,-3.109681"
"CH46 3SP","53.414267,-3.107969"
"CH46 3SQ","53.415707,-3.111406"
"CH46 3SS","53.415039,-3.109042"
"CH46 3ST","53.414928,-3.111296"
"CH46 3SU","53.413795,-3.108408"
"CH46 3SW","53.413825,-3.110109"
"CH46 3SX","53.415484,-3.108573"
"CH46 3SY","53.415367,-3.113429"
"CH46 3SZ","53.414887,-3.113763"
"CH46 4TA","53.413088,-3.123555"
"CH46 4TB","53.41191,-3.127406"
"CH46 4TD","53.410409,-3.115993"
"CH46 4TG","53.408226,-3.11571"
"CH46 4TH","53.412397,-3.117655"
"CH46 4TL","53.408599,-3.117284"
"CH46 4TP","53.408203,-3.117349"
"CH46 4TT","53.410078,-3.119655"
"CH46 4TU","53.409201,-3.118191"
"CH46 4TZ","53.409735,-3.117868"
"CH46 4UA","53.41086,-3.118816"
"CH46 4UB","53.410879,-3.118593"
"CH46 5NA","53.39639,-3.133886"
"CH46 5NB","53.397714,-3.131422"
"CH46 5ND","53.3896,-3.123478"
